WKT,uniqueid,start_nid,end_nid,oneway,osmid,length,type,lanes,maxspeed,capacity,fft
"LINESTRING (-122.2337878 37.8482419,-122.233873 37.8482269,-122.2341709 37.8481746,-122.2342182 37.8481664,-122.2342715 37.8481587,-122.2343256 37.8481521,-122.234373 37.8481483,-122.2344257 37.8481461,-122.2344815 37.8481443,-122.2345439 37.8481439,-122.2346118 37.8481442,-122.2346766 37.848146,-122.2347441 37.8481501,-122.234801 37.8481545,-122.2348649 37.8481605,-122.2349293 37.8481676,-122.2349857 37.8481747,-122.235045 37.8481828,-122.235108 37.8481928,-122.2351635 37.8482027,-122.2352159 37.8482132,-122.2352709 37.848225,-122.2353301 37.8482386,-122.2353871 37.8482528,-122.2354475 37.8482687,-122.2355053 37.8482847,-122.2355625 37.8483024,-122.2356254 37.8483224,-122.2356823 37.8483417,-122.2357359 37.8483604,-122.235784 37.8483783,-122.2358298 37.848396,-122.2358733 37.8484133,-122.2359154 37.8484309,-122.2359601 37.8484496,-122.2360047 37.8484696,-122.2360478 37.8484889,-122.2360941 37.8485103,-122.2361391 37.8485317,-122.2361897 37.8485573,-122.2362351 37.8485811,-122.2362801 37.8486055,-122.2363224 37.8486294,-122.2363691 37.8486566,-122.2364144 37.8486845,-122.2370154 37.8490595,-122.2370761 37.8490965,-122.2371315 37.8491295,-122.2371844 37.8491603,-122.2372365 37.8491896,-122.2372935 37.8492204,-122.2373505 37.8492502,-122.2373977 37.8492737,-122.2374447 37.8492957,-122.237501 37.8493216,-122.2375572 37.8493462,-122.2376179 37.8493717,-122.2376761 37.8493951,-122.2377365 37.8494186,-122.2378005 37.8494416,-122.2378664 37.8494646,-122.2379254 37.8494843,-122.2379813 37.8495015,-122.2380393 37.8495185,-122.2380941 37.8495338,-122.2381489 37.8495487,-122.2381973 37.8495614,-122.2382454 37.8495731,-122.2382957 37.8495844,-122.2383452 37.849595,-122.238396 37.8496049,-122.2384411 37.8496125,-122.2384921 37.8496206,-122.2385404 37.849627,-122.2385933 37.8496334,-122.2386484 37.849639,-122.2387056 37.8496435,-122.2387569 37.8496467,-122.2388221 37.8496496,-122.2388867 37.8496506,-122.2389491 37.8496506,-122.2390166 37.8496487,-122.2390792 37.8496465,-122.2391396 37.849643,-122.2391978 37.8496384,-122.2392552 37.8496322,-122.2393045 37.8496251,-122.2393602 37.849616,-122.239411 37.8496072,-122.239466 37.8495971,-122.2396433 37.849563)","1125","123","403",FALSE,"10626957",560.225,tertiary,"2","35","1800",35.80542033
"LINESTRING (-122.2441328 37.8477779,-122.2439517 37.8480414,-122.2437369 37.8483297,-122.2436274 37.8484654)","1139","408","922",TRUE,"188698984",88.423,tertiary,"1","30","900",6.593231521
"LINESTRING (-122.2439646 37.8476672,-122.2440138 37.8476415,-122.244061 37.8476373,-122.2440844 37.8476462,-122.2440987 37.847657,-122.244115 37.8476687,-122.2441308 37.8476968,-122.2441361 37.8477351,-122.2441328 37.8477779)","2305","845","408",TRUE,"10626524",27.774,tertiary_link,"1","30","900",2.070959052
"LINESTRING (-122.24426 37.8485064,-122.244485 37.8484147,-122.2446545 37.8483495,-122.2448232 37.8482707,-122.2449951 37.8481744,-122.2451731 37.8480687,-122.2461534 37.847381,-122.2462666 37.8473019,-122.2463859 37.8472187,-122.246525 37.8471261,-122.2466712 37.847031,-122.2467937 37.8469547,-122.2469155 37.8468838,-122.2470341 37.846818,-122.2471507 37.846754,-122.2472846 37.8466862,-122.2474177 37.8466207,-122.2475319 37.8465657,-122.2477628 37.8464521,-122.248734 37.8459537)","2308","846","847",TRUE,"25007004",486.305,motorway_link,"1","30","900",36.26117022
"LINESTRING (-122.2426502 37.8485531,-122.2424803 37.8486466,-122.2423468 37.8487147,-122.2422565 37.8487485,-122.2421737 37.8487684,-122.2420965 37.8487759)","2330","844","856",FALSE,"10626519",55.341,primary,"3","30","2700",4.126483218
"LINESTRING (-122.2426502 37.8485531,-122.2432337 37.8482318,-122.2434303 37.8481232,-122.2435777 37.8480226,-122.243721 37.847905,-122.2437734 37.8478581,-122.2438602 37.8477739,-122.2439646 37.8476672)","2331","845","856",FALSE,"188698988",152.801,primary,"3","30","2700",11.39355563
"LINESTRING (-122.2335314 37.8482866,-122.2337878 37.8482419)","2427","403","905",FALSE,"10626957",23.055,tertiary,"2","35","1800",1.473504334
"LINESTRING (-122.2436274 37.8484654,-122.2436784 37.8485492,-122.243761 37.8486076,-122.2437786 37.8486158)","2464","922","1827",TRUE,"22771026",21.867,tertiary,"1","30","900",1.630505566
"LINESTRING (-122.2438905 37.8486675,-122.2439718 37.8486272,-122.2441118 37.8485683,-122.24426 37.8485064)","2466","923","846",TRUE,"394116504",37.077,tertiary,"2","30","1800",2.764634146
"LINESTRING (-122.2414674 37.8488561,-122.2414468 37.8488637,-122.2412817 37.8489259,-122.2412249 37.8489474,-122.2410984 37.8489953,-122.2410416 37.8490172,-122.2409897 37.8490386,-122.2409336 37.8490631,-122.2408786 37.8490875,-122.2408243 37.8491125,-122.240764 37.8491411,-122.2407052 37.8491692,-122.2406485 37.8491965,-122.2406018 37.8492183,-122.2405538 37.8492398,-122.2405052 37.8492607,-122.2404551 37.8492821,-122.2404056 37.8493018,-122.2403631 37.84932,-122.2401261 37.849408,-122.2400039 37.8494533,-122.2398843 37.8494956,-122.2398554 37.8495056,-122.2398171 37.8495186,-122.2397747 37.8495321,-122.2397325 37.8495431,-122.2396885 37.8495534,-122.2396433 37.849563)","2472","123","925",FALSE,"986800385",178.746,tertiary,"2","35","1800",11.42411649
"LINESTRING (-122.2308842 37.848661,-122.230856 37.848662,-122.2307721 37.8486626,-122.2307061 37.8486624,-122.2306353 37.848662,-122.2305654 37.8486608,-122.2304975 37.8486588,-122.2304304 37.8486564,-122.2303681 37.8486536,-122.2302927 37.8486485,-122.2302194 37.8486427,-122.2301426 37.8486361,-122.230078 37.8486302,-122.2300145 37.8486239,-122.2299497 37.848617,-122.2298884 37.8486094,-122.229822 37.848601,-122.2297536 37.8485917,-122.2296861 37.848582,-122.2296021 37.8485684,-122.2295025 37.8485507,-122.2293551 37.8485225,-122.2285592 37.8483574,-122.2279938 37.8482404,-122.2277271 37.8481849,-122.2276257 37.8481653,-122.2275188 37.848146,-122.2274473 37.8481343,-122.2273798 37.8481241,-122.2273192 37.8481155,-122.2272572 37.8481077,-122.227192 37.8481005,-122.2271263 37.8480938,-122.2270443 37.8480874,-122.2269571 37.8480816,-122.2268809 37.8480775,-122.2268022 37.8480746,-122.2266399 37.848072,-122.2264939 37.8480739,-122.2263431 37.8480805,-122.2261987 37.8480903,-122.2260226 37.8481071,-122.2258591 37.8481288,-122.2256993 37.8481545,-122.2255661 37.8481796,-122.2254186 37.8482113,-122.2252735 37.8482476,-122.2251162 37.8482913,-122.2249639 37.8483389,-122.2248097 37.8483923,-122.2246672 37.8484472,-122.2245275 37.848507,-122.2244089 37.8485613,-122.2242807 37.8486244,-122.2241549 37.8486915,-122.2240307 37.8487632,-122.2239143 37.8488338,-122.223794 37.8489133,-122.2236864 37.8489894,-122.2235853 37.8490662,-122.223484 37.8491476,-122.2233787 37.8492401,-122.2232926 37.8493199,-122.2232015 37.8494093,-122.2231133 37.8495026,-122.2230347 37.8495925,-122.2229697 37.8496722,-122.2229014 37.8497608,-122.2228539 37.8498251,-122.2228093 37.8498899,-122.2227358 37.8500037,-122.2226661 37.8501219,-122.2226152 37.8502172,-122.2225686 37.8503118,-122.222522 37.8504176,-122.2224773 37.8505365)","3147","34","1266",FALSE,"736627684",869.804,tertiary,"2","35","1800",55.59141028
"LINESTRING (-122.2308842 37.848661,-122.2310115 37.8486578,-122.2311087 37.8486546,-122.2312062 37.8486504,-122.2312952 37.8486449,-122.2313871 37.8486386,-122.231476 37.8486317,-122.2315647 37.848623,-122.2316568 37.8486115,-122.2317494 37.8485964,-122.2322975 37.8485027,-122.2324384 37.8484782,-122.2335314 37.8482866)","3148","905","1266",FALSE,"1133884216",236.63,tertiary,"2","35","1800",15.12363178
"LINESTRING (-122.241761 37.8487445,-122.241631 37.848794,-122.241611 37.8488016,-122.2414674 37.8488561)","3934","925","1638",FALSE,"10626525",28.61,tertiary,"1","30","900",2.133295113
"LINESTRING (-122.241761 37.8487445,-122.2419059 37.8487631,-122.2420091 37.8487764,-122.2420965 37.8487759)","3935","844","1638",FALSE,"518491894",29.745,tertiary,"2","30","1800",2.21792601
"LINESTRING (-122.2437786 37.8486158,-122.2438905 37.8486675)","4299","1827","923",TRUE,"22771026",11.383,tertiary,"1","30","900",0.848769601
